id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_komoditas,produksi_sayuran,satuan,tahun
249,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KETIMUN,6132.0,TON,2013
250,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KUBIS,18341.0,TON,2013
251,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LABU SIAM,255.0,TON,2013
252,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LOBAK,0.0,TON,2013
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MELON,0.0,TON,2013
254,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PAPRIKA,0.0,TON,2013
255,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PETSAI/SAWI,5094.0,TON,2013
256,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SEMANGKA,1367.0,TON,2013
257,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,STROBERI,0.0,TON,2013
258,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TERUNG,848.0,TON,2013
259,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TOMAT,5409.0,TON,2013
260,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,WORTEL,219.0,TON,2013
261,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAWANG DAUN,1641.0,TON,2013
262,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAWANG MERAH,204.0,TON,2013
263,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAWANG PUTIH,0.0,TON,2013
264,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYAM,18.0,TON,2013
265,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BLEWAH,0.0,TON,2013
266,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUNCIS,645.0,TON,2013
267,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CABE BESAR,4157.0,TON,2013
268,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CABE RAWIT,3374.0,TON,2013
269,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,JAMUR,72559.0,TON,2013
270,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KACANG MERAH,9904.0,TON,2013
271,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KACANG PANJANG,3119.0,TON,2013
272,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KANGKUNG,484.0,TON,2013
273,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KEMBANG KOL,122.0,TON,2013
274,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KENTANG,1194.0,TON,2013
275,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KETIMUN,5844.0,TON,2013
276,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KUBIS,7461.0,TON,2013
277,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LABU SIAM,794.0,TON,2013
278,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LOBAK,0.0,TON,2013
279,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MELON,0.0,TON,2013
280,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PAPRIKA,0.0,TON,2013
